Cliente,Marca
20th Century Fox,Mujeres al ataque
20th Century Fox,La vida secreta de Walter Mitty-DVD/Bluray
3M México,Scotch-Brite® 
AB InBev-Grupo Modelo,Bud Light
AB InBev-Grupo Modelo,Corona
Abbott Laboratories,Glucerna
Abbott Laboratories,Ensure Advance
Adidas,Adidas
Aeroméxico,Aeroméxico
Aeroméxico,Clubpremier
Afore XXI,Afore XXI
Akron,Akron
Aldeas infantiles SOS México,Aldeas infantiles SOS México
Alegro,Rockaleta
Alegro,Belight h20
Alejandro del Hoyo,Distribuidores Toyota México
Industrias AlEn,Ensueño
Industrias AlEn,Pinol Original
Industrias AlEn,Cloralex Color Poder Vinagre
Alpura,Alpura Kids Crecimiento
Alpura,Crema Alpura
Alpura,Yoghurt Alpura
Alsea,California Pizza Kitchen (CPK)
Altos Tequila,Altos Tequila
America Online,America Online
American Express,American Express
American Express,Corporate Card
Andares 5065 Residences,Andares 5065 Residences
Anderson Clayton,Iberia
Arla Foods,Lurpak
ASM Clasificados,Segundamano
ASM Clasificados,Segundamano.Mx
Aspel de México,Aspel
Astra Zeneca,Crestor®
Avantel,Avantel 
Avon Cosmetics,Institucional
Avon Cosmetics,Memorable
Axa Seguros,Axa Seguros
Bajaj Motocicletas México,Pulsar
Banamex,Seguro de Auto
Banamex,Patrocinios Banamex
Banamex,Tarjetas de Crédito Banamex
Banamex,Tarjetas De Crédito Fútbol Banamex
Banamex,Tarjeta Affinity Card Banamex
Banca Afirme,Crédito Sí
Banca Afirme,Afirme
Banco Azteca,Crédito personal y al consumo
Banco Azteca,Guardadito
Banco Azteca,Cambio de divisas
Banco HSBC,Banco HSBC
Banco Mercantil Del Norte,Mujer Banorte
Banco Mercantil Del Norte,Ya Bájale
Banamex,Banamex
Banamex,Banamex.com
Grupo Financiero Santander México,Autocompara.com
Grupo Financiero Banorte,Pagaré 28
Barcel,Takis
Barcel,Paleta Payaso®
Barcel,Monster Runners
Barcel,Takis
Bayer De México,Cafiaspirina
Bayer De México,Aspirina
Bayer De México,Redoxon
Bayer De México,Canesten V
Bayer De México,Alka-Seltzer
Bayer De México,Flanax
BBVA Bancomer,Vida Bancomer
BDF México,Nivea Deo Aclarado Natural
